enginee_site_cleaan.siteid,enginee_site_cleaan.description,enginee_site_cleaan.enterby,enginee_site_cleaan.enterdate,enginee_site_cleaan.changeby,enginee_site_cleaan.changedate,enginee_site_cleaan.orgid,enginee_site_cleaan.active,enginee_site_cleaan.siteuid,enginee_site_cleaan.contact,enginee_site_cleaan.contactgroup,enginee_site_cleaan.langcode,enginee_site_cleaan.hasld,enginee_site_cleaan.rowstamp,enginee_site_cleaan.ssqy,enginee_site_cleaan.wdnum,enginee_site_cleaan.istj,enginee_site_cleaan.sfsiteid,enginee_site_cleaan.ssyyzx,enginee_site_cleaan.kydate,enginee_site_cleaan.gctype,enginee_site_cleaan.khdate,enginee_site_cleaan.kcdate
S1003,北京通州万达广场(BJTZ),MAXADMIN,2015-03-14 23:19:01.0,MAXADMIN,2015-03-14 23:19:23.0,G1003,1,161,,,ZH,0,4621387338,101,BJTZ,1,1000772,102,2014-11-29 00:00:00.0,102,2016-01-01 00:00:00.0,2016-01-01 00:00:00.0
S1007,长春重庆路万达广场(CCCQL),MAXADMIN,2015-03-14 20:24:58.0,SHANYUQIN,2016-09-06 09:36:59.0,G1007,1,26,,,ZH,0,4621387339,102,CCCQL,1,1001065,101,2003-01-16 00:00:00.0,101,2016-01-01 00:00:00.0,2016-01-01 00:00:00.0
S1131,黄石万达广场(HS),MAXADMIN,2015-03-14 20:26:29.0,MAXADMIN,2015-03-14 23:07:14.0,G1131,1,27,,,ZH,0,4621387340,130,HS,1,1000887,106,2015-07-03 00:00:00.0,102,2016-01-01 00:00:00.0,2016-01-01 00:00:00.0
S1008,成都金牛万达广场(CDJN),MAXADMIN,2015-03-14 20:27:19.0,MAXADMIN,2015-03-14 23:21:13.0,G1008,1,28,,,ZH,0,4621387341,104,CDJN,1,1000383,108,2012-12-22 00:00:00.0,102,2016-01-01 00:00:00.0,2016-01-01 00:00:00.0
S1009,成都锦华路万达广场(CDJHL),MAXADMIN,2015-03-14 20:28:59.0,V_SUNGUANGCUI,2018-02-12 14:05:22.0,G1009,1,29,,,ZH,0,4621387342,104,CDJHL,1,1000284,108,2007-12-22 00:00:00.0,102,2016-01-01 00:00:00.0,2016-01-01 00:00:00.0
S1130,阜阳颍州万达广场(FYYZ),MAXADMIN,2015-03-14 20:29:52.0,RENHAO,2018-03-22 09:27:05.0,G1130,1,30,,,ZH,0,4621387343,113,FYYZ,1,1001006,109,2015-08-29 00:00:00.0,102,2016-01-01 00:00:00.0,2016-01-01 00:00:00.0
S1129,长沙开福万达广场(CSKF),MAXADMIN,2015-03-14 20:34:27.0,V_SUNGUANGCUI,2018-02-06 09:57:26.0,G1129,1,33,,,ZH,0,4621387344,103,CSKF,1,1000403,109,2013-09-27 00:00:00.0,102,2016-01-01 00:00:00.0,2016-01-01 00:00:00.0
S1128,镇江万达广场(ZJ),MAXADMIN,2015-03-14 20:35:24.0,RENHAO,2018-03-21 18:07:47.0,G1128,1,34,,,ZH,0,4621387345,118,ZJ,1,1000278,103,2011-08-12 00:00:00.0,102,2016-01-01 00:00:00.0,2016-01-01 00:00:00.0
S1012,重庆巴南万达广场(BN),MAXADMIN,2015-03-14 20:36:31.0,MAXADMIN,2015-03-14 23:13:32.0,G1012,1,35,,,ZH,0,4621387346,135,BN,1,1001009,108,2015-10-30 00:00:00.0,102,2016-01-01 00:00:00.0,2016-01-01 00:00:00.0
S1127,金华万达广场(JH),MAXADMIN,2015-03-14 20:37:57.0,MAXADMIN,2015-03-14 23:10:12.0,G1127,1,36,,,ZH,0,4621387347,120,JH,1,1000685,105,2014-07-25 00:00:00.0,102,2016-01-01 00:00:00.0,2016-01-01 00:00:00.0
