merchant_plazainfo.plazaid,merchant_plazainfo.plazaname,merchant_plazainfo.plazacode,merchant_plazainfo.plazanameshort,merchant_plazainfo.areaid,merchant_plazainfo.opendate,merchant_plazainfo.shooppingceterarea,merchant_plazainfo.mainstorearea,merchant_plazainfo.innerpedestrianarea,merchant_plazainfo.areaofpark,merchant_plazainfo.shoppingceterprakcount,merchant_plazainfo.plazarechargetype,merchant_plazainfo.leasesystemid,merchant_plazainfo.propertysystemid,merchant_plazainfo.customsalessystemid,merchant_plazainfo.customercomplaintssystemid,merchant_plazainfo.othersystemid1,merchant_plazainfo.othersystemid2,merchant_plazainfo.othersystemid3,merchant_plazainfo.listindex,merchant_plazainfo.weatherregion,merchant_plazainfo.weatherurl,merchant_plazainfo.startworktimeam,merchant_plazainfo.guittingtimeam,merchant_plazainfo.startworktimepm,merchant_plazainfo.guittingtimepm,merchant_plazainfo.ledword,merchant_plazainfo.dmbword,merchant_plazainfo.monday_bg,merchant_plazainfo.monday_end,merchant_plazainfo.tuesday_bg,merchant_plazainfo.tuesday_end,merchant_plazainfo.wednesday_bg,merchant_plazainfo.wednesday_end,merchant_plazainfo.thursday_bg,merchant_plazainfo.thursday_end,merchant_plazainfo.friday_bg,merchant_plazainfo.friday_end,merchant_plazainfo.saturday_bg,merchant_plazainfo.saturday_end,merchant_plazainfo.sunday_bg,merchant_plazainfo.sunday_end
000000000000000000000000000001000301,武汉经开万达广场,WHJK,,4357,2011-08-27 00:00:00.0,219253.74,65111.36,25032.38,52640,1245,3,1000301,1000301,1000301,66328,,,,0,蔡甸,http://m.weather.com.cn/atad/101200102.html,2014-03-04 09:00:00.0,2014-03-04 12:00:00.0,2014-03-04 12:00:00.0,2014-03-04 18:00:00.0,200,200,2015-10-15 09:30:00.0,2015-10-15 18:00:00.0,2015-10-15 09:30:00.0,2015-10-15 18:00:00.0,2015-10-15 09:30:00.0,2015-10-15 18:00:00.0,2015-10-15 09:30:00.0,2015-10-15 18:00:00.0,2015-10-15 09:30:00.0,2015-10-15 18:00:00.0,2015-10-15 09:30:00.0,2015-10-15 18:00:00.0,2015-10-15 09:30:00.0,2015-10-15 18:00:00.0
000000000000000000000000000001000603,西安大明宫万达广场,XADMG,,5339,2013-11-22 00:00:00.0,0,63560,49323,70618.9,1420,3,1000603,1000603,1000603,69810917,,,,0,西安,http://m.weather.com.cn/atad/101110101.html,2014-03-04 10:00:00.0,2014-03-04 12:00:00.0,2014-03-04 12:00:00.0,2014-03-04 21:30:00.0,200,200,2014-05-26 10:00:00.0,2014-05-26 22:00:00.0,2014-05-26 10:00:00.0,2014-05-26 22:00:00.0,2014-05-26 10:00:00.0,2014-05-26 22:00:00.0,2014-05-26 10:00:00.0,2014-05-26 22:00:00.0,2014-05-26 10:00:00.0,2014-05-26 22:00:00.0,2014-05-26 10:00:00.0,2014-05-26 22:00:00.0,2014-05-26 10:00:00.0,2014-05-26 22:00:00.0
000000000000000000000000000001000298,宜昌万达广场,YC,,4409,2010-11-27 00:00:00.0,294040.6,66239.21,16119.69,43737,725,3,1000298,1000298,1000298,66379,,,,0,宜昌,http://m.weather.com.cn/atad/101200901.html,2014-03-04 09:00:00.0,2014-03-04 12:00:00.0,2014-03-04 12:00:00.0,2014-03-04 22:00:00.0,200,200,2014-03-04 09:30:00.0,2014-03-04 18:00:00.0,2014-03-04 09:30:00.0,2014-03-04 18:00:00.0,2014-03-04 09:30:00.0,2014-03-04 18:00:00.0,2014-03-04 09:30:00.0,2014-03-04 18:00:00.0,2014-03-04 09:30:00.0,2014-03-04 18:00:00.0,2014-03-04 09:30:00.0,2014-03-04 18:00:00.0,2014-03-04 09:30:00.0,2014-03-04 18:00:00.0
000000000000000000000000000001000107,上海五角场万达广场,SHWJC,,4380,2006-12-23 00:00:00.0,271201.84,160159.24,40397.48,40855.85,799,3,1000107,1000107,1000107,66274,,,,0,上海,http://m.weather.com.cn/atad/101020100.html,2014-03-04 09:00:00.0,2014-03-04 12:00:00.0,2014-03-04 12:00:00.0,2014-03-04 22:00:00.0,200,200,2014-03-04 09:30:00.0,2014-03-04 18:00:00.0,2014-03-04 09:30:00.0,2014-03-04 18:00:00.0,2014-03-04 09:30:00.0,2014-03-04 18:00:00.0,2014-03-04 09:30:00.0,2014-03-04 18:00:00.0,2014-03-04 09:30:00.0,2014-03-04 18:00:00.0,2014-03-04 09:30:00.0,2014-03-04 18:00:00.0,2014-03-04 09:30:00.0,2014-03-04 18:00:00.0
000000000000000000000000000001000392,沈阳北一路万达广场,SYBYL,,4339,2012-08-31 00:00:00.0,0,67741.84,47448.09,39260.92,1150,3,1000392,1000392,1000392,66887,,,,0,沈阳,http://m.weather.com.cn/atad/101070101.html,2014-03-04 09:00:00.0,2014-03-04 12:00:00.0,2014-03-04 12:00:00.0,2014-03-04 21:30:00.0,200,200,2014-03-04 09:30:00.0,2014-03-04 18:00:00.0,2014-03-04 09:30:00.0,2014-03-04 18:00:00.0,2014-03-04 09:30:00.0,2014-03-04 18:00:00.0,2014-03-04 09:30:00.0,2014-03-04 18:00:00.0,2014-03-04 09:30:00.0,2014-03-04 18:00:00.0,2014-03-04 09:30:00.0,2014-03-04 18:00:00.0,2014-03-04 09:30:00.0,2014-03-04 18:00:00.0
000000000000000000000000000001000286,武汉中央文化区楚河汉街,WHHJ,,5303,2011-09-30 00:00:00.0,168020.52,0,0,69638.95,1617,3,1000286,1000286,1000286,66340,,,,0,武汉,http://m.weather.com.cn/atad/101200101.html,2014-03-04 09:00:00.0,2014-03-04 12:00:00.0,2014-03-04 12:00:00.0,2014-03-04 22:00:00.0,200,200,2014-10-15 09:30:00.0,2014-10-15 19:00:00.0,2014-10-15 09:30:00.0,2014-10-15 19:00:00.0,2014-10-15 09:30:00.0,2014-10-15 19:00:00.0,2014-10-15 09:30:00.0,2014-10-15 19:00:00.0,2014-10-15 09:30:00.0,2014-10-15 19:00:00.0,2014-10-15 09:30:00.0,2014-10-15 17:00:00.0,2014-10-15 09:30:00.0,2014-10-15 17:00:00.0
000000000000000000000000000001000546,厦门集美万达广场,XMJM,,5343,2013-06-08 00:00:00.0,0,54700,27800,41000,700,3,1000546,1000546,1000546,69810923,,,,0,厦门,http://m.weather.com.cn/atad/101230201.html,2014-03-04 09:00:00.0,2014-03-04 12:00:00.0,2014-03-04 12:00:00.0,2014-03-04 22:00:00.0,200,200,2014-03-04 09:30:00.0,2014-03-04 18:00:00.0,2014-03-04 09:30:00.0,2014-03-04 18:00:00.0,2014-03-04 09:30:00.0,2014-03-04 18:00:00.0,2014-03-04 09:30:00.0,2014-03-04 18:00:00.0,2014-03-04 09:30:00.0,2014-03-04 18:00:00.0,2014-03-04 09:30:00.0,2014-03-04 18:00:00.0,2014-03-04 09:30:00.0,2014-03-04 18:00:00.0
000000000000000000000000000001000299,大庆萨尔图万达广场,DQ,,4352,2011-11-25 00:00:00.0,156326.57,56992.6,38854.87,49200,1200,3,1000299,1000299,1000299,66832,,,,0,大庆,http://m.weather.com.cn/atad/101050901.html,2014-04-23 09:30:00.0,2014-04-23 12:00:00.0,2014-04-23 12:00:00.0,2014-04-23 21:00:00.0,200,200,2015-12-08 09:30:00.0,2015-12-08 18:00:00.0,2015-12-08 09:30:00.0,2015-12-08 18:00:00.0,2015-12-08 09:30:00.0,2015-12-08 18:00:00.0,2015-12-08 09:30:00.0,2015-12-08 18:00:00.0,2015-12-08 09:30:00.0,2015-12-08 18:00:00.0,2015-12-08 09:30:00.0,2015-12-08 18:00:00.0,2015-12-08 09:30:00.0,2015-12-08 18:00:00.0
000000000000000000000000000001000544,沈阳奥体万达广场,SYAT,,5333,2013-07-26 00:00:00.0,0,62800,32700,46900,1710,3,1000544,1000544,1000544,15901635,,,,0,沈阳,http://m.weather.com.cn/atad/101070101.html,2013-11-20 09:00:00.0,2013-11-20 12:00:00.0,2013-11-20 12:00:00.0,2013-11-20 21:30:00.0,200,200,2014-05-23 10:00:00.0,2014-05-23 21:30:00.0,2014-05-23 10:00:00.0,2014-05-23 21:30:00.0,2014-05-23 10:00:00.0,2014-05-23 21:30:00.0,2014-05-23 10:00:00.0,2014-05-23 21:30:00.0,2014-05-23 10:00:00.0,2014-05-23 21:30:00.0,2014-05-23 09:30:00.0,2014-05-23 21:30:00.0,2014-05-23 09:30:00.0,2014-05-23 21:30:00.0
000000000000000000000000000001000108,上海江桥万达广场,SHJQ,,4377,2011-06-18 00:00:00.0,218401,71645,53569,67100,1694,3,1000108,1000108,1000108,66262,,,,0,嘉定,http://m.weather.com.cn/atad/101020500.html,2013-11-20 10:00:00.0,2013-11-20 12:00:00.0,2013-11-20 12:00:00.0,2013-11-20 22:00:00.0,200,200,2016-11-08 09:30:00.0,2016-11-08 17:30:00.0,2016-11-08 09:30:00.0,2016-11-08 17:30:00.0,2016-11-08 09:30:00.0,2016-11-08 17:30:00.0,2016-11-08 09:30:00.0,2016-11-08 17:30:00.0,2016-11-08 09:30:00.0,2016-11-08 17:30:00.0,2016-11-08 09:30:00.0,2016-11-08 17:30:00.0,2016-11-08 09:30:00.0,2016-11-08 17:30:00.0
