passenger_dimplaza.plazakey,passenger_dimplaza.plazainfoid,passenger_dimplaza.branchid,passenger_dimplaza.plazaid,passenger_dimplaza.plazaname,passenger_dimplaza.zonecode,passenger_dimplaza.zonename,passenger_dimplaza.busiarea,passenger_dimplaza.buildarea,passenger_dimplaza.rentarea,passenger_dimplaza.primarystorerentarea,passenger_dimplaza.normalstorerentarea,passenger_dimplaza.parkingcount,passenger_dimplaza.cityname,passenger_dimplaza.citylevel,passenger_dimplaza.districttype,passenger_dimplaza.owner,passenger_dimplaza.address,passenger_dimplaza.deleteddate,passenger_dimplaza.opendate,passenger_dimplaza.plazacentury,passenger_dimplaza.plazarate,passenger_dimplaza.managedarea,passenger_dimplaza.plazatype,passenger_dimplaza.businessdate,passenger_dimplaza.totalbuildingarea,passenger_dimplaza.businessbuildingarea,passenger_dimplaza.ysid,passenger_dimplaza.vicestorearea,passenger_dimplaza.indexcode
45,45,45,45,武汉经开,QY07,武汉,106097.62,,86447.00,64216.00,22231.00,500,武汉,1498,1,华中,,1900-01-01 00:00:00.0,2011-08-27 00:00:00.0,,,5618,2,,106097.62,85796.96,1000301,0.00,45
46,46,46,46,江苏镇江,QY04,南京,97035.96,,76408.00,53639.00,22769.00,0,镇江,1501,,华东,,1900-01-01 00:00:00.0,2011-08-12 00:00:00.0,,,5490,2,,98358.16,75036.12,1000278,0.00,46
47,47,47,47,厦门湖里,QY15,厦门,119073.60,,98247.00,74422.00,23825.00,99,厦门,1498,1,东南,,1900-01-01 00:00:00.0,2011-09-02 00:00:00.0,,,5563,2,,119073.60,97182.88,1000267,0.00,47
48,48,48,48,银川金凤,QY025,银川,107462.05,,89157.00,62566.00,26591.00,0,银川,1499,,西北,,1900-01-01 00:00:00.0,2011-09-09 00:00:00.0,,,5565,2,,107807.61,88305.20,1000283,0.00,48
49,49,49,49,石家庄裕华,QY09,北京,138894.47,,116464.00,90664.00,25800.00,0,石家庄,1498,,华北,,1900-01-01 00:00:00.0,2011-09-23 00:00:00.0,,,5503,2,,143073.75,115028.25,1000269,0.00,49
50,50,50,50,武汉楚河汉街,QY07,武汉,99537.90,,94790.00,0.00,94790.00,0,武汉,1498,,华中,,1900-01-01 00:00:00.0,2011-09-30 00:00:00.0,,,5618,2,,99537.90,95373.87,1000286,0.00,50
51,51,51,51,郑州中原,QY18,郑州,110537.50,,91617.00,70281.00,21336.00,0,郑州,1498,,华中,,1900-01-01 00:00:00.0,2011-10-28 00:00:00.0,,,5618,2,,116558.50,90114.64,1000287,0.00,51
52,52,52,52,河北廊坊,QY09,北京,103377.58,,85526.00,64914.00,20612.00,0,廊坊,1501,,华北,,1900-01-01 00:00:00.0,2011-11-11 00:00:00.0,,,5503,2,,103377.58,84672.01,1000282,0.00,52
53,53,53,53,唐山路南,QY06,天津,140356.33,,109650.00,74026.00,35624.00,0,唐山,1499,,华北,,1900-01-01 00:00:00.0,2011-12-23 00:00:00.0,,,5503,2,,140356.33,108248.83,1000323,0.00,53
54,54,54,54,大庆萨尔图,5564,黑龙江,102210.28,,75363.00,45067.00,30296.00,0,大庆,1499,,东北,,1900-01-01 00:00:00.0,2011-11-25 00:00:00.0,,,5502,2,,102210.28,77887.92,1000299,0.00,54
55,55,55,55,福州仓山,QY14,福州,120285.49,,101630.00,80592.00,21038.00,2000,福州,1498,1,东南,,1900-01-01 00:00:00.0,2011-12-02 00:00:00.0,,,5563,2,,121096.44,100088.45,1000268,0.00,55
56,56,56,56,常州新北,SG08,无锡,113209.47,,90885.00,64614.00,26271.00,0,常州,1499,,华东,,1900-01-01 00:00:00.0,2011-12-10 00:00:00.0,,,5490,2,,113209.47,89622.97,1000285,0.00,56
57,57,57,57,泰州海陵,QY04,南京,110641.98,,85015.00,56212.00,28803.00,0,泰州,1501,,华东,,1900-01-01 00:00:00.0,2011-12-09 00:00:00.0,,,5490,2,,110641.98,83412.77,1000273,0.00,57
58,58,58,58,上海宝山,QY10,上海,109390.80,,91913.00,74103.00,17810.00,0,上海,1497,,华东,,1900-01-01 00:00:00.0,2012-06-29 00:00:00.0,,,5490,1,,109390.80,87091.36,1000343,0.00,58
59,59,59,59,合肥天鹅湖,SG14,合肥,104982.40,,84120.00,61034.00,23086.00,1120,合肥,1498,3,中南,,1900-01-01 00:00:00.0,2012-07-20 00:00:00.0,,,5395,1,,104982.40,83718.34,1000363,0.00,59
60,60,60,60,福建晋江,QY15,厦门,103113.91,,82737.00,60639.00,22098.00,0,晋江,1501,,东南,,1900-01-01 00:00:00.0,2012-08-10 00:00:00.0,,,5563,1,,109622.19,81091.96,1000390,0.00,60
61,61,61,61,长白山度假小镇,,,0.00,,32548.00,6780.00,25768.00,0,白山,0,,东北,,2015-01-20 00:00:00.0,2012-07-28 00:00:00.0,,,2,1,,0.00,0.00,,0.00,61
62,62,62,62,福建宁德,QY14,福州,109121.06,,86135.00,59194.00,26941.00,0,宁德,1501,,东南,,1900-01-01 00:00:00.0,2012-08-11 00:00:00.0,,,5563,1,,109513.07,85220.97,1000389,0.00,62
63,63,63,63,南昌红谷滩,QY19,南昌,118252.62,,96639.00,69847.00,26792.00,0,南昌,1498,,中南,,1900-01-01 00:00:00.0,2012-08-25 00:00:00.0,,,5395,1,,118252.62,94351.39,1000384,0.00,63
64,64,64,64,沈阳北一路,QY05,沈阳,121226.37,,97272.00,67517.00,29755.00,0,沈阳,1498,,东北,,1900-01-01 00:00:00.0,2012-08-31 00:00:00.0,,,5502,1,,125190.60,94568.65,1000392,0.00,64
65,65,65,65,芜湖镜湖,SG14,合肥,99517.72,,78663.00,54477.00,24186.00,0,芜湖,1501,,中南,,1900-01-01 00:00:00.0,2012-09-07 00:00:00.0,,,5395,1,,99517.72,73400.87,1000387,0.00,65
