budget_cf_company_clean.companyid,budget_cf_company_clean.companyno,budget_cf_company_clean.parentcompanyid,budget_cf_company_clean.companycode,budget_cf_company_clean.companyname,budget_cf_company_clean.recordstatus,budget_cf_company_clean.modifyuserid,budget_cf_company_clean.modifydate,budget_cf_company_clean.parentcompanyno,budget_cf_company_clean.companytype,budget_cf_company_clean.rentalplazaid,budget_cf_company_clean.propertyplazaid,budget_cf_company_clean.shortcode,budget_cf_company_clean.opendate,budget_cf_company_clean.companystatus,budget_cf_company_clean.preparestartdate,budget_cf_company_clean.prepareenddate,budget_cf_company_clean.selfarea,budget_cf_company_clean.salearea,budget_cf_company_clean.saleprepareenddate,budget_cf_company_clean.salepreparestartdate,budget_cf_company_clean.saleopendate,budget_cf_company_clean.companybudgettype,budget_cf_company_clean.companyorder,budget_cf_company_clean.assetscompanytype,budget_cf_company_clean.ehrid,budget_cf_company_clean.erpid,budget_cf_company_clean.isforsale,budget_cf_company_clean.isforself,budget_cf_company_clean.companyattribute
4370,66862,6392,103696,长春红旗街万达广场,ACTIVE,46498,2016-09-02 15:23:50.902038,0,PLAZA,1000276,,CCHQJ,2010-10-29 00:00:00.0,OPERATE,,,0,0,,,,OPERATE,28,HEAVYASSET,66862,,N,Y,
5340,721013,6392,105704,长春宽城万达广场,ACTIVE,46498,2016-09-02 15:24:19.326331,0,PLAZA,1000463,,CCKC,2013-08-16 00:00:00.0,OPERATE,,,0,29880,,,2014-06-30 00:00:00.0,OPERATE,82,HEAVYASSET,721013,,Y,Y,
4351,67116,4655,103950,合肥天鹅湖万达广场,ACTIVE,44857,2016-08-12 17:15:21.525201,0,PLAZA,1000363,,HFTEH,2012-07-20 00:00:00.0,OPERATE,,,0,3501124,,,2012-12-31 00:00:00.0,OPERATE,59,HEAVYASSET,67116,,Y,Y,
5335,721166,6403,105804,无锡惠山万达广场,ACTIVE,46498,2016-09-02 15:35:18.888498,0,PLAZA,1000524,,WXHS,2013-06-21 00:00:00.0,OPERATE,,,0,0,,,2013-12-20 00:00:00.0,OPERATE,78,HEAVYASSET,721166,SG08201,Y,Y,
4367,66558,5315,103392,济南魏家庄万达广场,ACTIVE,44262,2014-03-24 16:50:43.79966,0,PLAZA,1000263,,JNWJZ,2010-11-19 00:00:00.0,OPERATE,,,0,0,,,,OPERATE,31,HEAVYASSET,66558,,,Y,
4335,66592,4333,103426,西安民乐园万达广场,ACTIVE,48159,2015-09-01 13:38:22.532907,0,PLAZA,1000290,,XAMLY,2009-12-19 00:00:00.0,OPERATE,,,0,0,,,2009-12-11 00:00:00.0,OPERATE,24,HEAVYASSET,66592,,Y,Y,
4347,67136,5321,103970,南昌红谷滩万达广场,ACTIVE,50392,2016-08-15 13:49:39.88274,0,PLAZA,1000384,,NCHGT,2012-08-25 00:00:00.0,OPERATE,,,0,0,,,2012-08-25 00:00:00.0,OPERATE,62,HEAVYASSET,67136,,Y,Y,
4638,66965,6401,103799,漳州碧湖万达广场,ACTIVE,46498,2016-09-02 15:53:15.704312,0,PLAZA,1000397,,ZZ,2012-10-26 00:00:00.0,OPERATE,,,0,0,,,2013-03-31 00:00:00.0,OPERATE,69,HEAVYASSET,66965,,Y,Y,
5330,721008,4407,105700,哈尔滨哈西万达广场,ACTIVE,48159,2015-09-01 13:36:19.119725,0,PLAZA,1000583,,HEBHX,2013-09-13 00:00:00.0,OPERATE,,,0,0,,,2013-09-28 00:00:00.0,OPERATE,85,HEAVYASSET,721008,,Y,Y,
4415,67077,6403,103911,江阴万达广场,ACTIVE,46498,2016-09-02 15:40:48.107959,0,PLAZA,1000386,,JY,2012-09-22 00:00:00.0,OPERATE,2011-06-20 00:00:00.0,2012-09-15 00:00:00.0,195000,366000,,,2013-03-30 00:00:00.0,OPERATE,66,HEAVYASSET,67077,,Y,Y,
5323,721164,6403,105777,太仓万达广场,ACTIVE,46498,2016-09-02 15:35:52.929007,0,PLAZA,1000395,,TC,2012-12-07 00:00:00.0,OPERATE,,,0,0,,,2016-01-01 00:00:00.0,OPERATE,71,HEAVYASSET,721164,,Y,Y,
5325,138788688,4336,108660,丹东万达广场,ACTIVE,48711,2016-08-12 11:26:45.838558,0,PLAZA,1000625,,DD,2013-12-20 00:00:00.0,OPERATE,,,0,0,,,2013-12-20 00:00:00.0,OPERATE,91,HEAVYASSET,138788688,,Y,Y,
5336,,4355,,武汉汉街万达广场,ACTIVE,27914,2017-09-22 15:22:13.143516,0,PLAZA,1000483,,WHHJWD,2013-09-28 00:00:00.0,OPERATE,,,0,0,,,,OPERATE,86,HEAVYASSET,572051833,SG06001,N,Y,
