entactmgt_tpm_project_clean.projectid,entactmgt_tpm_project_clean.orgid,entactmgt_tpm_project_clean.projectname,entactmgt_tpm_project_clean.jddate,entactmgt_tpm_project_clean.picpath,entactmgt_tpm_project_clean.deleteflag,entactmgt_tpm_project_clean.status,entactmgt_tpm_project_clean.partitionid,entactmgt_tpm_project_clean.creator,entactmgt_tpm_project_clean.createtime,entactmgt_tpm_project_clean.modifieduser,entactmgt_tpm_project_clean.modifiedtime,entactmgt_tpm_project_clean.isbudget,entactmgt_tpm_project_clean.plazaid,entactmgt_tpm_project_clean.plazacode,entactmgt_tpm_project_clean.plazatypeid,entactmgt_tpm_project_clean.isopen,entactmgt_tpm_project_clean.opendate,entactmgt_tpm_project_clean.projecttype,entactmgt_tpm_project_clean.isbugetcontrol,entactmgt_tpm_project_clean.ispopularizetransfer,entactmgt_tpm_project_clean.projectcompanyid,entactmgt_tpm_project_clean.plazaassettypeid,entactmgt_tpm_project_clean.citylevelid
ABF749D5-276D-4C97-B936-005D77BA2B81,,南宁江南万达广场,,,false,1,,,,,,true,1001405,NNJN,3,true,2017-06-23 00:00:00.0,,true,false,858163AC-2AE8-4AC2-909A-BC9378BCD501,1,2
FE0ECA27-F9CD-48AB-8E73-01C50345E15C,,惠州大亚湾万达广场,,,false,1,,,,,,true,1001636,HZDYW,3,true,2017-11-24 00:00:00.0,0,true,true,1DF33B35-1720-4A13-9D6E-735055865033,1,3
C8F25080-5BD8-433F-BB0A-01C9E08E5799,,呼市回民区万达广场,,,false,1,,,,,,true,1001525,HSHMQ,4,true,2017-08-25 00:00:00.0,0,true,true,A2557A5E-DB96-4C43-8920-9114EFCD7828,1,2
16F3D6AC-6DC5-4AC3-887C-01DE5D9FF9DC,,吴忠万达广场,,,false,1,,,,,,true,1001814,WZ,4,true,2018-06-15 00:00:00.0,,true,false,,1,
8B4D4485-C4C3-4028-8FD3-01EF5BE362C8,,宜兴万达广场,,,false,1,,,,,,true,1000523,YX,4,true,2013-05-31 00:00:00.0,1,true,true,B8F484BC-7E72-44ED-957F-19326B2D12F9,1,3
FD7A3C12-E08A-4EDF-B69D-020DC1B58B01,,佳木斯万达广场,,,false,1,,,,,,true,1001007,JMS,4,true,2015-09-12 00:00:00.0,1,true,false,8FCA94C4-07D5-4996-B981-E83127F55E23,1,3
F9363219-1783-46DA-8683-036B413848D4,,铜陵万达广场,,,false,1,,,,,,true,1001633,TL,3,true,2017-11-10 00:00:00.0,0,true,false,3AB48584-7AFF-4480-9C3A-BCDB5D67FD3C,1,3
1E3944C1-C84F-45DC-9DBA-03D42E539DC0,,乐山万达广场,,,false,1,,,,,,true,1001126,LS,3,true,2016-09-23 00:00:00.0,0,true,true,19471E12-8070-48CE-BBB7-161E5EDBA9E4,1,3
7C4EDFD3-1F41-467E-A3F6-03DC0006BD3D,,成都锦华路万达广场,,,false,1,,,,,,true,1000284,CDJHL,1,true,2007-12-22 00:00:00.0,1,true,true,5D940A7F-C683-41E0-82F0-C5EE149669B1,1,2
006A0884-D929-490A-919B-04B09C7B47C0,,鹤壁万达广场,,,false,1,,,,,,true,1001804,HBQB,3,true,2018-06-22 00:00:00.0,0,true,false,,1,3
9D82BFE5-1F5B-4C5A-B2EB-0A2904609C4A,,六盘水万达广场,,,false,1,,,,,,true,1001640,LPS,3,true,2017-12-08 00:00:00.0,,true,false,,1,3
617B7CBF-E9B1-4401-9C00-0AADF6EEB40D,,合肥瑶海万达广场,,,false,1,,,,,,true,1001120,HFYH,2,true,2016-09-09 00:00:00.0,0,true,true,8DC981A7-7508-4742-AA68-7F5AFD5D96D5,1,2
2238FD7E-46F7-4DFE-A58A-0AED73C3873D,,石家庄裕华万达广场,,,false,1,,,,,,true,1000269,SJZYH,1,true,2011-09-23 00:00:00.0,1,true,true,E1B5DE68-F135-4A02-9877-E0F8E7203301,1,2
AB96D3F3-5A64-4B2A-899A-0BD4E9F40950,,成都金堂万达广场,,,false,1,,,,,,true,1001638,CDJT,3,true,2017-12-08 00:00:00.0,0,true,true,,1,3
