lease_bf_plaza_clean.plazaid,lease_bf_plaza_clean.companyid,lease_bf_plaza_clean.plazacode,lease_bf_plaza_clean.plazaname,lease_bf_plaza_clean.shortname,lease_bf_plaza_clean.operationcenterid,lease_bf_plaza_clean.operationcenter,lease_bf_plaza_clean.regionalcompanyid,lease_bf_plaza_clean.regionalcompany,lease_bf_plaza_clean.plazatype,lease_bf_plaza_clean.opendate,lease_bf_plaza_clean.provinceid,lease_bf_plaza_clean.cityid,lease_bf_plaza_clean.countyid,lease_bf_plaza_clean.plazaadress,lease_bf_plaza_clean.ownercompanyid,lease_bf_plaza_clean.businesscompanyid,lease_bf_plaza_clean.propertycompanyid,lease_bf_plaza_clean.plazalevel,lease_bf_plaza_clean.plazaclass,lease_bf_plaza_clean.assettype,lease_bf_plaza_clean.classification,lease_bf_plaza_clean.areaofbuildingtotal,lease_bf_plaza_clean.businessareaofbuilding,lease_bf_plaza_clean.areaofsupporting,lease_bf_plaza_clean.floorovergroundcount,lease_bf_plaza_clean.floorundergroundcount,lease_bf_plaza_clean.parkcount,lease_bf_plaza_clean.mapscalelocationx,lease_bf_plaza_clean.mapscalelocationy,lease_bf_plaza_clean.innerpedestrianarea,lease_bf_plaza_clean.mainarea,lease_bf_plaza_clean.secmainarea,lease_bf_plaza_clean.outdoorarea,lease_bf_plaza_clean.firstmainarea,lease_bf_plaza_clean.firstsecmainarea,lease_bf_plaza_clean.firstotherarea,lease_bf_plaza_clean.firstoutdoorarea,lease_bf_plaza_clean.firstofficebuildingarea,lease_bf_plaza_clean.firstbarstreetarea,lease_bf_plaza_clean.isvalid,lease_bf_plaza_clean.recordstatus,lease_bf_plaza_clean.createuserid,lease_bf_plaza_clean.createdate,lease_bf_plaza_clean.modifyuserid,lease_bf_plaza_clean.modifydate,lease_bf_plaza_clean.fromtable,lease_bf_plaza_clean.fromrecordid,lease_bf_plaza_clean.firstmaininnerarea,lease_bf_plaza_clean.firstmainrentarea,lease_bf_plaza_clean.firstsecmaininnerarea,lease_bf_plaza_clean.firstsecmainrentarea,lease_bf_plaza_clean.firstotherinnerarea,lease_bf_plaza_clean.firstotherrentrentarea,lease_bf_plaza_clean.firstoutdoorinnerarea,lease_bf_plaza_clean.firstoutdoorrentarea,lease_bf_plaza_clean.firstofficebuildinginnerarea,lease_bf_plaza_clean.firstofficebuildingrentarea,lease_bf_plaza_clean.firstbarstreetrentarea,lease_bf_plaza_clean.firstbarstreetinnerarea,lease_bf_plaza_clean.assetareaamt,lease_bf_plaza_clean.upareaofbuilding,lease_bf_plaza_clean.downareaofbuilding,lease_bf_plaza_clean.adscount,lease_bf_plaza_clean.datafrominfo,lease_bf_plaza_clean.frominfo,lease_bf_plaza_clean.workflowstatus,lease_bf_plaza_clean.plazaposition
1001006,5415,FYYZ,阜阳颍州万达广场,阜阳颍州,5395,中南运营中心,4655,合肥区域商管公司,BUSINESSCENTER,2015-08-29 00:00:00.0,28,58,1450,安徽省阜阳市颍州区淮河路767号,2883,2817,2817,3A,3A,DEVELOPMENT,A类,148400,91878.18,56521.82,5,1,1035,,,,,,,43819.51,2186.76,45167.54,704.37,,,,ACTIVE,45537,2015-01-04 14:49:45.496528,50545,2018-06-04 23:14:58.0,BF_PLAZA,1001006,,,,,,,,,,,,,,138755.62,9644.38,346,租赁系统,,APPROVED,城市-全客层-购物中心
1001009,5416,CQBN,重庆巴南万达广场,重庆巴南,5397,西南运营中心,5322,重庆区域商管公司,BUSINESSCENTER,2015-10-30 00:00:00.0,16,384,,,2886,2933,2933,2C,2C,DEVELOPMENT,B类,173422,98101.45,75320.55,4,1,1600,,,,,,,42764.85,7613.24,47025.25,698.11,,,,ACTIVE,45537,2015-01-04 16:57:30.384064,1,2018-06-04 23:14:58.0,BF_PLAZA,1001009,37765.24,42392.72,6055.82,6645.23,26796.77,26796.77,698.11,698.11,,,,,,163491.14,9930.86,68,,,APPROVED,
1001010,5417,DGHJ,东莞厚街万达广场,东莞厚街,5396,华南运营中心,5512,东莞区域商管公司,BUSINESSCENTER,2015-11-06 00:00:00.0,18,101,,,2889,2839,2839,3A,3A,DEVELOPMENT,B类,154200,88348.27,65851.73,5,1,1210,,,,,,,31328.19,5888.92,51131.16,0,,,,ACTIVE,45537,2015-01-04 17:26:16.532588,1,2018-06-04 23:14:58.0,BF_PLAZA,1001010,27492.96,31142.15,5164.49,5602.59,26489.74,26489.74,0,0,,,,,,144417.35,9782.65,125,,,APPROVED,
1001014,5422,NT,南通万达广场,南通港闸,5490,华东运营中心,5515,无锡区域商管公司,BUSINESSCENTER,2015-12-11 00:00:00.0,19,219,,,2929,2830,2830,3A,3A,DEVELOPMENT,B类,136600,93154.11,43445.89,5,1,1137,,,,,,,42107.46,4269.32,46396.84,380.49,,,,ACTIVE,45537,2015-01-05 10:10:11.89417,49884,2018-06-04 23:14:58.0,BF_PLAZA,1001014,,,,,,,,,,,,,,131779.19,4820.81,174,租赁系统,,APPROVED,区域-家庭-购物中心
1001015,5423,GZNS,广州南沙万达广场,广州南沙,5396,华南运营中心,4634,广州区域商管公司,BUSINESSCENTER,2015-12-22 00:00:00.0,18,103,,,2940,3098,3098,3B,3B,DEVELOPMENT,B类,164062,86187.02,77874.98,4,1,1198,,,,,,,36225.92,5765.54,43233.16,948.98,,,,ACTIVE,45537,2015-01-05 10:24:39.62567,42919,2018-06-04 23:14:58.0,BF_PLAZA,1001015,34947.24,35817.54,5498.34,5247.16,21882.37,21882.37,948.98,948.98,,,,,,154662,9400,104,,,APPROVED,
1001064,5431,NCBY,南昌八一万达广场,南昌八一,5395,中南运营中心,5321,南昌区域商管公司,BUSINESSCENTER,2003-08-28 00:00:00.0,33,227,1575,,1040,660,660,2A,2A,DEVELOPMENT,A类,36280,27005.73,9274.27,3,0,184,,,,,,,23854.02,0,0,0,,,,ACTIVE,1,2015-10-13 12:43:25.966607,1,2018-06-04 23:14:58.0,BF_PLAZA,1001064,0,23854.02,0,0,0,0,0,0,,,,,,36280,0,65,,,APPROVED,
1001108,5429,JNGX,济南高新万达广场,济南高新,5503,华北运营中心,5315,济南区域商管公司,BUSINESSCENTER,2016-06-18 00:00:00.0,27,286,,,3006,3108,3108,2C,2C,DEVELOPMENT,A类,169786.84,97364.59,72422.25,6,1,990,97364.59,68505.25,,,,,37422.94,3025.87,56915.78,0,,,,ACTIVE,1,2015-10-26 14:54:09.499762,1,2018-06-04 23:14:58.0,BF_PLAZA,1001108,33612.58,37422.94,2680.17,3025.87,28056.44,28056.44,0,0,,,,,,159839.44,9947.4,177,,,APPROVED,
1001112,5434,JX,鸡西万达广场,黑龙江鸡西,5502,东北运营中心,5564,黑龙江区域商管公司,BUSINESSCENTER,2016-07-15 00:00:00.0,26,173,,,2667,2746,2746,3B,3B,DEVELOPMENT,D类,123640,77059.36,46580.64,5,1,700,77059.36,57480.82,,,,,39416.44,0,37604.99,233.17,,,,ACTIVE,1,2015-10-26 14:56:14.754571,49884,2018-06-04 23:14:58.0,BF_PLAZA,1001112,,,,,,,,,,,,,,115400.28,8239.72,83,租赁系统,,APPROVED,城市-全客层-购物中心
1001116,5467,HBSY,湖北十堰万达广场,湖北十堰,5618,华中运营中心,4355,武汉区域商管公司,BUSINESSCENTER,2016-08-05 00:00:00.0,30,176,1999,湖北省十堰市张湾区,3066,3293,3293,3B,3B,DEVELOPMENT,C类,150385.95,91087.28,59298.67,4,1,1012,91087.28,67390.49,,,,,31955.37,9652.64,48585.95,893.32,,,,ACTIVE,1,2015-10-26 14:59:09.321928,53038,2018-06-04 23:14:58.0,BF_PLAZA,1001116,,,,,,,,,,,,,,140709.87,9676.08,77,租赁系统,,APPROVED,城市-全客层-购物中心
1001129,5439,SMX,三门峡万达广场,河南三门峡,5618,华中运营中心,5319,郑州区域商管公司,BUSINESSCENTER,2016-10-21 00:00:00.0,23,149,1912,,3237,3356,3356,3C,3C,DIRECTINVESTMENT,C类,110700,102600,8100,5,0,643,102440.63,78735.63,,,,,28900,0,58087.81,0,,,,ACTIVE,1,2015-10-26 15:05:29.438838,49824,2018-06-04 23:14:58.0,BF_PLAZA,1001129,,,,,,,,,,,,,,110700,0,56,租赁系统,,APPROVED,城市-全客层-购物中心
